time,stage,id,entropy
0.25,0,bike,0.0
0.25,0,dut,3.871413475703435
0.25,0,foe1,0.0
0.25,0,foe2,0.0
0.25,0,foe3,0.0
0.25,0,ped,0.0
0.5,0,bike,0.0
0.5,0,dut,3.871413475703435
0.5,0,foe1,0.0
0.5,0,foe2,0.0
0.5,0,foe3,0.0
0.5,0,ped,0.0
0.75,0,bike,0.0
0.75,0,dut,3.871413475703435
0.75,0,foe1,0.0
0.75,0,foe2,0.0
0.75,0,foe3,0.0
0.75,0,ped,0.0
1.0,0,bike,0.0
1.0,0,dut,3.871413475703435
1.0,0,foe1,0.0
1.0,0,foe2,0.0
1.0,0,foe3,0.0
1.0,0,ped,0.0
1.25,0,bike,0.0
1.25,0,dut,3.871413475703435
1.25,0,foe1,0.0
1.25,0,foe2,0.0
1.25,0,foe3,0.0
1.25,0,ped,0.0
1.5,0,bike,0.0
1.5,0,dut,3.871413475703435
1.5,0,foe1,0.0
1.5,0,foe2,0.0
1.5,0,foe3,0.0
1.5,0,ped,0.0
1.75,0,bike,0.0
1.75,0,dut,3.871413475703435
1.75,0,foe1,0.0
1.75,0,foe2,0.0
1.75,0,foe3,0.0
1.75,0,ped,0.0
2.0,0,bike,0.0
2.0,0,dut,3.871413475703435
2.0,0,foe1,0.0
2.0,0,foe2,0.0
2.0,0,foe3,0.0
2.0,0,ped,0.0
2.25,0,bike,0.0
2.25,0,dut,3.871413475703435
2.25,0,foe1,0.0
2.25,0,foe2,0.0
2.25,0,foe3,0.0
2.25,0,ped,0.0
2.5,0,bike,0.0
2.5,0,dut,3.871413475703435
2.5,0,foe1,0.0
2.5,0,foe2,0.0
2.5,0,foe3,0.0
2.5,0,ped,0.0
2.75,0,bike,0.0
2.75,0,dut,3.871413475703435
2.75,0,foe1,0.0
2.75,0,foe2,0.0
2.75,0,foe3,0.0
2.75,0,ped,0.0
3.0,0,bike,0.0
3.0,0,dut,3.871413475703435
3.0,0,foe1,0.0
3.0,0,foe2,0.0
3.0,0,foe3,0.0
3.0,0,ped,0.0
3.25,0,bike,0.0
3.25,0,dut,3.871413475703435
3.25,0,foe1,0.0
3.25,0,foe2,0.0
3.25,0,foe3,0.0
3.25,0,ped,0.0
3.5,0,bike,0.0
3.5,0,dut,3.871413475703435
3.5,0,foe1,0.0
3.5,0,foe2,0.0
3.5,0,foe3,0.0
3.5,0,ped,0.0
3.75,0,bike,0.0
3.75,0,dut,3.871413475703435
3.75,0,foe1,0.0
3.75,0,foe2,0.0
3.75,0,foe3,0.0
3.75,0,ped,0.0
4.0,0,bike,0.0
4.0,0,dut,3.871413475703435
4.0,0,foe1,0.0
4.0,0,foe2,0.0
4.0,0,foe3,0.0
4.0,0,ped,0.0
4.25,0,bike,0.0
4.25,0,dut,3.871413475703435
4.25,0,foe1,0.0
4.25,0,foe2,0.0
4.25,0,foe3,0.0
4.25,0,ped,0.0
4.5,0,bike,0.0
4.5,0,dut,3.871413475703435
4.5,0,foe1,0.0
4.5,0,foe2,0.0
4.5,0,foe3,0.0
4.5,0,ped,0.0
4.75,0,bike,0.0
4.75,0,dut,3.871413475703435
4.75,0,foe1,0.0
4.75,0,foe2,0.0
4.75,0,foe3,0.0
4.75,0,ped,0.0
5.0,0,bike,0.0
5.0,0,dut,3.871413475703435
5.0,0,foe1,0.0
5.0,0,foe2,0.0
